Ссылка,Автор,Дата,Описание,Хэштеги,Просмотры,Лайки,Комментарии,Звук
https://instagram.fkgf3-1.fna.fbcdn.net/o1/v/t2/f2/m86/AQPqDygkEDBeeeD7Xoa2JtFV-B8upZLcGAcfqihFLh7J3PaclM1eXfekyohVQto8gitH-D0v-_0PsRi8CSSGF7HxYjDaD6iIEv5gx_o.mp4?_nc_cat=110&_nc_oc=Adms9pVXos6SWMHlsfs6W7a3Cd2Kn0kqKqe20i5GPX9IF5AP9vz7S15rECqNUHJu1Hk&_nc_sid=5e9851&_nc_ht=instagram.fkgf3-1.fna.fbcdn.net&_nc_ohc=YKJE0YCrJB0Q7kNvwFZCBsr&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzE4LmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6NDEwMzU5ODI5OTk1OTQwOCwidmlfdXNlY2FzZV9pZCI6MTAwOTksImR1cmF0aW9uX3MiOjExLCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&vs=2c8ab8471daac2fc&_nc_vs=HBkcFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC8yMjRDQjFDRTM0OUNDNjE0NDZCNDVBNzIyMTc5OEQ4Q192aWRlb19kYXNoaW5pdC5tcDQVAALIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAm4MHC7-2Myg4VAigCQzMsF0Amd0vGp--eGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHX-B2XmnQEA&_nc_zt=28&oh=00_AfLle2CDNIsLTZtuZJogIVCYdMiylB8EhEwEvC786j2Ufw&oe=6836658B,kitpaulson,2025-05-20 18:54:29+00:00,"I was making this thing, then I realized I didn’t want to make it after all, so I quit. I was going to dispose of it but on the way to disposal I stuck it on this nail outside my studio and this may be the best it’s ever looked.
.
.
.
#glass #borosilicate #flameworking #gothicarchitecture #knowwhentoquit #failure",,0,660,21,
https://instagram.fkgf3-1.fna.fbcdn.net/o1/v/t16/f2/m261/AQONe7ppk9UnUqfsrzn8q0l0kA239ETi10zYtLjZdbqilrMVwCQ4m-XmYt-ZTgxAm-_9pa7USJTOXdTCUqZYeKLySABNf0HRPtrmlg.mp4?_nc_cat=101&_nc_oc=AdkzaO3Kg_IZQf_0bL4hqFVroWv-wAAjbR8Hmq49xR_NRNRJqu9gypVzMCSuTIh6Fb8&_nc_sid=8bf8fe&_nc_ht=instagram.fkgf3-1.fna.fbcdn.net&_nc_ohc=-efqrdeqK3gQ7kNvwGF6GPM&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuMTQ0MC5yZW11eF9zb3VyY2UiLCJ4cHZfYXNzZXRfaWQiOjE3MDA3ODcxNTEzMTQ1MzQsInZpX3VzZWNhc2VfaWQiOjEwODI3LCJkdXJhdGlvbl9zIjoyNCwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&_nc_zt=28&oh=00_AfLQAy_JYf5Gwhm3nzG5CAltObW7Zf5a-cC4vGXPxhPr5w&oe=6836333B,adorno.design,2025-05-22 03:05:00+00:00,"Experimental Argentine artist based in Barcelona. “My work focuses on flame-working with blown glass, exploring a non-existent dreamlike world based on dreams and the creation of other realities. Through innovative techniques and a multidisciplinary approach, I aim to challenge conventions and offer a profound reflection on identity and diversity. My pieces not only highlight the fragility of the material but also evoke a sense of resilience and connection to the multiple realities that coexist within our experience.”

-PIA GLASSWORKS

Browse the collection at link in bio

#glass #glassart #glassblowing #glassblowingart #glassblown #glassdesign #glassdecor #glasscraft #glassartist #glassart",,0,725,24,
